Model,Accuracy,Precision,Recall,F1-score
Decision Tree,0.995499867643166,0.995503707282571,0.995499867643166,0.9954967135132968
Random Forest,0.9966469602047119,0.9966458293546888,0.9966469602047119,0.9966278606816129
XGBoost,0.9945292508603194,0.9945163641462071,0.9945292508603194,0.9945125501334432
