Model,Accuracy,Precision,Recall,F1-score,Phase
Decision Tree,0.9955881055325156,0.9955919394899142,0.9955881055325156,0.9955847223935529,Phase 1
Random Forest,0.9949704403070678,0.9949587060640095,0.9949704403070678,0.9949578553649047,Phase 1
XGBoost,0.9941762993029207,0.9941667457012846,0.9941762993029207,0.9941579573784806,Phase 1
Decision Tree,0.995499867643166,0.995503707282571,0.995499867643166,0.9954967135132968,Phase 2
Random Forest,0.9966469602047119,0.9966458293546888,0.9966469602047119,0.9966278606816129,Phase 2
XGBoost,0.9945292508603194,0.9945163641462071,0.9945292508603194,0.9945125501334432,Phase 2
