Model,Accuracy,Precision,Recall,F1-score,Training Time (s),Prediction Time (s)
Decision Tree,0.995499867643166,0.995503707282571,0.995499867643166,0.9954967135132968,0.6559720039367676,0.0016682147979736328
Random Forest,0.9966469602047119,0.9966458293546888,0.9966469602047119,0.9966278606816129,5.564972162246704,0.07064151763916016
XGBoost,0.9945292508603194,0.9945163641462071,0.9945292508603194,0.9945125501334432,0.46764373779296875,0.013187885284423828
Stacked Ensemble,0.9972646254301597,0.9972642453355733,0.9972646254301597,0.9972468252662092,34.48137164115906,0.12581110000610352
