Model,Accuracy,Precision,Recall,F1-score
Decision Tree,0.9955881055325156,0.9955919394899142,0.9955881055325156,0.9955847223935529
Random Forest,0.9949704403070678,0.9949587060640095,0.9949704403070678,0.9949578553649047
XGBoost,0.9941762993029207,0.9941667457012846,0.9941762993029207,0.9941579573784806
